city,county,district,grades,number_alt_schools,number_elementary_schools,number_high_schools,number_middle_schools,rank,rank_2016,rank_change,rank_score_2017,sd_rating
Bergen,Genesee,Byron-Bergen Central School District,"PK, KG-12",0,1,1,0,273rd,279,6,0.679,3
Weedsport,Cayuga,Weedsport Central School District,K-12,0,1,1,0,274th,242,32,0.679,3
Fonda,Montgomery,Fonda-Fultonville Central School District,"PK, KG-12",0,1,1,1,275th,215,60,0.675,3
East Hampton,Suffolk,Springs Union Free School District,"PK, KG-12",0,1,0,0,276th,395,119,0.674,3
Holland Patent,Oneida,Holland Patent Central School District,"PK, KG-12",0,2,1,1,277th,372,95,0.67,3
Cambridge,Washington,Cambridge Central School District,"PK, KG-12",0,1,1,0,278th,232,46,0.67,3
Baldwin,Nassau,Baldwin Union Free School District,K-12,0,5,1,1,279th,263,16,0.67,3
East Quogue,Suffolk,East Quogue Union Free School District,K-6,0,1,0,0,280th,256,24,0.669,3
Mineola,Nassau,Mineola Union Free School District,"PK, KG-12",0,3,1,1,281st,282,1,0.669,3
Trumansburg,Tompkins,Trumansburg Central School District,"PK, KG-12",0,1,1,1,282nd,204,78,0.669,3
Forestville,Chautauqua,Forestville Central School District,"PK, KG-12",0,1,1,0,283rd,217,66,0.668,3
Painted Post,Steuben,Corning City School District,"PK, KG-12",0,6,2,1,284th,231,53,0.668,3
Sherman,Chautauqua,Sherman Central School District,"PK, KG-12",0,1,1,0,285th,191,94,0.664,3
Westmoreland,Oneida,Westmoreland Central School District,K-12,0,1,1,1,286th,309,23,0.664,3
Broadalbin,Fulton,Broadalbin-Perth Central School District,"PK, KG-12",0,2,1,1,287th,341,54,0.661,3
Island Park,Nassau,Island Park Union Free School District,"PK, KG-8",0,1,0,1,288th,382,94,0.66,3
Westfield,Chautauqua,Westfield Central School District,K-12,0,1,1,1,289th,275,14,0.659,3
Elmont,Nassau,Elmont Union Free School District,"PK, KG-6",0,6,0,0,290th,264,26,0.658,3
Rochester,Monroe,Genesee Community Charter School,K-6,0,1,0,0,291st,145,146,0.658,3
Binghamton,Broome,Chenango Forks Central School District,"PK, KG-12",0,1,1,1,292nd,357,65,0.657,3
Churchville,Monroe,Churchville-Chili Central School District,K-12,0,3,1,1,293rd,252,41,0.657,3
Slate Hill,Orange,Minisink Valley Central School District,K-12,0,3,1,1,294th,336,42,0.656,3
Cuba,Allegany,Cuba-Rushford Central School District,"PK, KG-12",0,1,1,1,295th,287,8,0.654,3
Long Beach,Nassau,Long Beach City School District,"PK, KG-12",0,4,1,1,296th,288,8,0.653,3
Bellmore,Nassau,North Bellmore Union Free School District,K-6,0,5,0,0,297th,208,89,0.651,3
Patterson,Putnam,Carmel Central School District,K-12,0,3,2,1,298th,230,68,0.649,3
Scotia,Schenectady,Scotia-Glenville Central School District,K-12,0,4,1,1,299th,260,39,0.649,3
Miller Place,Suffolk,Miller Place Union Free School District,K-12,0,2,1,1,300th,270,30,0.649,3
Goshen,Orange,Goshen Central School District,K-12,0,2,1,1,301st,348,47,0.649,3
Camillus,Onondaga,West Genesee Central School District,K-12,0,4,1,2,302nd,330,28,0.648,3
Alexander,Genesee,Alexander Central School District,"PK, KG-12",1,1,0,0,303rd,251,52,0.648,3
Aurora,Cayuga,Southern Cayuga Central School District,"PK, KG-12",0,1,1,0,304th,281,23,0.647,3
Sauquoit,Oneida,Sauquoit Valley Central School District,K-12,0,1,1,1,305th,349,44,0.647,3
New York,New York,Sisulu-Walker Charter School Of Harlem,K-5,0,1,0,0,306th,464,158,0.645,3
New York,New York,Amber Charter School,K-5,0,1,0,0,307th,383,76,0.643,3
East Hampton,Suffolk,East Hampton Union Free School District,K-12,0,1,1,1,308th,293,15,0.642,3
Mayville,Chautauqua,Chautauqua Lake Central School District,"PK, KG-12",0,1,2,0,309th,314,5,0.641,3
Deer Park,Suffolk,Deer Park Union Free School District,"PK, KG-12",0,3,1,1,310th,316,6,0.641,3
Brooklyn,Kings,Williamsburg Collegiate Charter School,5-8,0,0,0,1,311th,259,52,0.641,3
Fort Ann,Washington,Fort Ann Central School District,"PK, KG-12",1,1,0,0,312th,,(n/a),0.64,3
Bronx,Bronx,Icahn Charter School 7,K-5,0,1,0,0,313th,150,163,0.64,3
Troy,Rensselaer,True North Troy Preparatory Charter School,K-8,0,1,0,0,314th,404,90,0.639,3
New York,New York,New York City Geographic District # 2,"PK, KG-12",8,37,62,10,315th,346,31,0.639,3
Oakfield,Genesee,Oakfield-Alabama Central School District,"PK, KG-12",0,1,1,0,316th,368,52,0.639,3
Florida,Orange,Florida Union Free School District,"PK, KG-12",1,1,0,0,317th,391,74,0.638,3
Valatie,Columbia,Kinderhook Central School District,"PK, KG-12",0,2,1,1,318th,351,33,0.637,3
Chittenango,Madison,Chittenango Central School District,K-12,0,2,1,1,319th,188,131,0.636,3
Champlain,Clinton,Northeastern Clinton Central School District,"PK, KG-12",1,2,1,0,320th,299,21,0.634,3
Canisteo,Steuben,Canisteo-Greenwood Central School District,"PK, KG-12",0,1,1,0,321st,339,18,0.632,3
Bronx,Bronx,South Bronx Charter School,K-5,0,1,0,0,322nd,244,78,0.63,3
Valley Stream,Nassau,Valley Stream 13 Union Free School District,K-6,0,4,0,0,323rd,222,101,0.63,3
Ithaca,Tompkins,Ithaca City School District,"PK, KG-12",1,8,1,2,324th,278,46,0.629,3
Springville,Erie,Springville-Griffith Institute Central School District,K-12,0,2,1,1,325th,340,15,0.627,3
Schenectady,Schenectady,Schalmont Central School District,K-12,0,1,1,1,326th,257,69,0.627,3
Owego,Tioga,Owego-Apalachin Central School District,"PK, KG-12",0,2,1,1,327th,327,,0.626,3
Bohemia,Suffolk,Connetquot Central School District,"PK, KG-12",0,7,1,2,328th,209,119,0.626,3
Wayland,Steuben,Wayland-Cohocton Central School District,"PK, KG-12",0,2,1,1,329th,271,58,0.625,3
Clayton,Jefferson,Thousand Islands Central School District,K-12,0,2,1,1,330th,311,19,0.622,3
Brooklyn,Kings,Leadership Preparatory Canarsie Charter School,K-8,0,1,0,0,331st,,(n/a),0.622,3
Niagara Falls,Niagara,Niagara-Wheatfield Central School District,"PK, KG-12",0,4,1,1,332nd,320,12,0.621,3
South Glens Falls,Saratoga,South Glens Falls Central School District,"PK, KG-12",0,4,1,1,333rd,342,9,0.619,3
Cheektowaga,Erie,Cheektowaga-Maryvale Union Free School District,"PK, KG-12",0,2,1,1,334th,317,17,0.617,3
New York,New York,The Equity Project Charter School,5-8,0,0,0,1,335th,405,70,0.616,3
Elba,Genesee,Elba Central School District,"PK, KG-12",0,1,1,0,336th,354,18,0.616,3
Manorville,Suffolk,Eastport-South Manor Central School District,"PK, KG-12",0,4,1,0,337th,355,18,0.615,3
Wilson,Niagara,Wilson Central School District,"PK, KG-12",1,1,0,0,338th,305,33,0.613,3
Bronx,Bronx,Mott Haven Academy Charter School,"PK, KG-5",0,1,0,0,339th,181,158,0.613,3
Baldwinsville,Onondaga,Baldwinsville Central School District,K-12,1,5,1,1,340th,321,19,0.613,3
Bronx,Bronx,Girls Preparatory Charter School Of The Bronx,"PK, KG-8",0,1,0,0,341st,489,148,0.613,3
Montgomery,Orange,Valley Central School District (Montgomery),K-12,0,4,1,1,342nd,353,11,0.613,3
Albany,Albany,South Colonie Central School District,"PK, KG-12",0,5,1,2,343rd,300,43,0.612,3
Jamaica,Queens,Rochdale Early Advantage Charter School,"PK, KG-5",0,1,0,0,344th,456,112,0.612,3
Cheektowaga,Erie,Cleveland Hill Union Free School District,"PK, KG-12",0,1,1,1,345th,344,1,0.612,3
Avon,Livingston,Avon Central School District,K-12,0,1,1,1,346th,319,27,0.612,3
Brockport,Monroe,Brockport Central School District,"PK, KG-12",0,3,1,1,347th,285,62,0.611,3
New York Mills,Oneida,New York Mills Union Free School District,K-12,0,1,1,0,348th,352,4,0.61,3
Remsen,Oneida,Remsen Central School District,"PK, KG-12",0,1,1,0,349th,369,20,0.609,3
Corfu,Genesee,Pembroke Central School District,K-12,0,2,1,0,350th,245,105,0.608,3
Chester,Orange,Chester Union Free School District,K-12,1,1,0,0,351st,446,95,0.608,3
Lake Ronkonkoma,Suffolk,Sachem Central School District,K-12,0,12,2,4,352nd,328,24,0.606,3
Brooklyn,Kings,Brooklyn East Collegiate Charter School,5-8,0,0,0,1,353rd,267,86,0.606,3
Cato,Cayuga,Cato-Meridian Central School District,"PK, KG-12",0,1,1,1,354th,334,20,0.605,3
Saint Albans,Queens,Riverton Street Charter School,K-8,0,1,0,0,355th,409,54,0.604,3
Rocky Point,Suffolk,Rocky Point Union Free School District,K-12,0,2,1,1,356th,350,6,0.603,3
Attica,Wyoming,Attica Central School District,K-12,0,1,1,1,357th,384,27,0.602,3
Pavilion,Genesee,Pavilion Central School District,"PK, KG-12",1,1,0,0,358th,361,3,0.601,3
Ravena,Albany,Ravena-Coeymans-Selkirk Central School District,"PK, KG-12",0,2,1,1,359th,371,12,0.6,3
New Paltz,Ulster,New Paltz Central School District,K-12,0,2,1,1,360th,333,27,0.6,3
Bronx,Bronx,Family Life Academy Charter School I,K-8,0,1,0,0,361st,356,5,0.599,3
Newport,Herkimer,West Canada Valley Central School District,K-12,0,1,1,0,362nd,389,27,0.597,3
Bronx,Bronx,Bronx Academy Of Promise Charter School,K-8,0,1,0,0,363rd,374,11,0.597,3
Gainesville,Wyoming,Letchworth Central School District,"PK, KG-12",0,2,1,0,364th,312,52,0.596,3
Sleepy Hollow,Westchester,Union Free School District Of The Tarrytowns,K-12,0,3,1,1,365th,335,30,0.593,3
Oneonta,Otsego,Oneonta City School District,K-12,0,3,1,1,366th,331,35,0.592,3
Richfield Springs,Otsego,Richfield Springs Central School District,"PK, KG-12",0,1,1,0,367th,586,219,0.592,3
Tannersville,Greene,Hunter-Tannersville Central School District,"PK, KG-12",0,1,1,0,368th,402,34,0.591,3
Salem,Washington,Salem Central School District,"PK, KG-12",1,1,1,0,369th,323,46,0.591,3
Chatham,Columbia,Chatham Central School District,"PK, KG-12",0,1,1,1,370th,298,72,0.589,3
Rushville,Yates,Gorham-Middlesex Central School District (Marcus Whitman),"PK, KG-12",0,2,1,1,371st,301,70,0.588,3
Deposit,Broome,Deposit Central School District,"PK, KG-12",1,1,0,0,372nd,302,70,0.588,3
Depew,Erie,Depew Union Free School District,K-12,0,1,1,1,373rd,284,89,0.587,3
Milton,Ulster,Marlboro Central School District,K-12,0,1,1,1,374th,468,94,0.587,3
Lagrangeville,Dutchess,Arlington Central School District,K-12,0,8,1,2,375th,422,47,0.586,3
New York,New York,East Harlem Scholars Academy Charter School,"PK, KG-6",0,1,0,0,376th,324,52,0.583,3
Livingston Manor,Sullivan,Livingston Manor Central School District,"PK, KG-12",0,1,1,0,377th,460,83,0.578,3
Beacon,Dutchess,Beacon City School District,"PK, KG-12",0,4,1,1,378th,393,15,0.577,3
Waterville,Oneida,Waterville Central School District,"PK, KG-12",0,1,1,0,379th,397,18,0.576,3
Alexandria Bay,Jefferson,Alexandria Central School District,"PK, KG-12",0,1,1,0,380th,532,152,0.576,3
Penn Yan,Yates,Penn Yan Central School District,"PK, KG-12",0,1,1,1,381st,451,70,0.576,3
Mayfield,Fulton,Mayfield Central School District,"PK, KG-12",0,1,1,0,382nd,272,110,0.575,3
Campbell,Steuben,Campbell-Savona Central School District,"PK, KG-12",0,1,1,0,383rd,360,23,0.574,3
Burt,Niagara,Newfane Central School District,"PK, KG-12",0,2,1,1,384th,283,101,0.574,3
Long Island City,Queens,New York City Geographic District #30,"PK, KG-12",1,29,9,9,385th,416,31,0.574,3
Rochester,Monroe,True North Rochester Prep-West Camp,K-8,0,1,0,0,386th,549,163,0.573,3
Oxford,Chenango,Oxford Academy And Central School District,"PK, KG-12",0,1,1,1,387th,380,7,0.571,3
Conklin,Broome,Susquehanna Valley Central School District,K-12,0,2,1,1,388th,429,41,0.571,3
Red Creek,Wayne,Red Creek Central School District,"PK, KG-12",0,1,1,1,389th,325,64,0.57,3
Nedrow,Onondaga,Onondaga Central School District,"PK, KG-12",0,2,1,0,390th,347,43,0.569,3
Long Island City,Queens,Growing Up Green Charter School,K-8,0,1,0,0,391st,198,193,0.568,3
Naples,Ontario,Naples Central School District,"PK, KG-12",0,1,1,0,392nd,224,168,0.568,3
Troy,Rensselaer,Brunswick Central School District (Brittonkill),"PK, KG-12",1,1,0,0,393rd,364,29,0.567,3
Waterford,Saratoga,Waterford-Halfmoon Union Free School District,K-12,0,1,1,0,394th,365,29,0.567,3
Bainbridge,Chenango,Bainbridge-Guilford Central School District,"PK, KG-12",0,2,1,0,395th,367,28,0.566,3
Brewster,Putnam,Brewster Central School District,K-12,0,2,1,1,396th,421,25,0.565,3
Staten Island,Richmond,New York City Geographic District #31,"PK, KG-12",1,49,10,12,397th,414,17,0.565,3
Brooklyn,Kings,Brooklyn Dreams Charter School,K-8,0,1,0,0,398th,539,141,0.564,3
Troy,Rensselaer,Wynantskill Union Free School District,K-8,0,1,0,0,399th,306,93,0.562,3
Hopewell Junction,Dutchess,Wappingers Central School District,K-12,0,10,3,2,400th,366,34,0.562,3
Port Henry,Essex,Moriah Central School District,"PK, KG-12",0,1,1,0,401st,470,69,0.561,3
Cattaraugus,Cattaraugus,Cattaraugus-Little Valley Central School District,"PK, KG-12",0,1,1,1,402nd,490,88,0.56,2
Gilbertsville,Otsego,Gilbertsville-Mount Upton Central School District,"PK, KG-12",0,1,1,0,403rd,567,164,0.559,2
Dannemora,Clinton,Saranac Central School District,K-12,0,2,1,1,404th,343,61,0.559,2
West Hempstead,Nassau,West Hempstead Union Free School District,K-12,0,3,1,1,405th,514,109,0.558,2
Whitney Point,Broome,Whitney Point Central School District,"PK, KG-12",0,2,1,0,406th,444,38,0.558,2
Retsof,Livingston,York Central School District,"PK, KG-12",0,1,1,0,407th,400,7,0.557,2
Bronx,Bronx,American Dream Charter School,6-8,0,0,0,1,408th,,(n/a),0.557,2
Madrid,St. Lawrence,Madrid-Waddington Central School District,"PK, KG-12",1,1,0,0,409th,396,13,0.556,2
Warsaw,Wyoming,Warsaw Central School District,K-12,2,1,0,0,410th,432,22,0.556,2
Verona,Oneida,Sherrill City School District,"PK, KG-12",0,3,1,1,411th,326,85,0.555,2
Argyle,Washington,Argyle Central School District,"PK, KG-12",0,1,1,0,412th,379,33,0.551,2
Highland,Ulster,Highland Central School District,K-12,0,1,1,1,413th,538,125,0.551,2
Brooklyn,Kings,New York City Geographic District #22,"PK, KG-12",0,27,6,6,414th,427,13,0.551,2
Lake Luzerne,Warren,Hadley-Luzerne Central School District,"PK, KG-12",0,1,1,0,415th,362,53,0.55,2
Marion,Wayne,Marion Central School District,"PK, KG-12",0,1,1,0,416th,381,35,0.55,2
Jordan,Onondaga,Jordan-Elbridge Central School District,"PK, KG-12",0,1,1,1,417th,474,57,0.549,2
Tioga Center,Tioga,Tioga Central School District,"PK, KG-12",0,1,1,1,418th,363,55,0.548,2
Corona,Queens,New York City Geographic District #24,"PK, KG-12",1,33,16,7,419th,412,7,0.546,2
Glens Falls,Warren,Glens Falls City School District,"PK, KG-12",1,3,1,0,420th,408,12,0.545,2
Brooklyn,Kings,New York City Geographic District #15,"PK, KG-12",3,25,11,8,421st,459,38,0.543,2
Holland,Erie,Holland Central School District,"PK, KG-12",0,1,1,0,422nd,377,45,0.542,2
Germantown,Columbia,Germantown Central School District,"PK, KG-12",0,1,1,0,423rd,392,31,0.542,2
New Rochelle,Westchester,New Rochelle City School District,"PK, KG-12",0,7,1,2,424th,443,19,0.541,2
Delanson,Schenectady,Duanesburg Central School District,K-12,0,1,1,0,425th,307,118,0.54,2
Spencer,Tioga,Spencer-Van Etten Central School District,"PK, KG-12",0,1,1,1,426th,420,6,0.539,2
Poland,Herkimer,Poland Central School District,"PK, KG-12",1,1,0,0,427th,455,28,0.539,2
Dolgeville,Herkimer,Dolgeville Central School District,"PK, KG-12",0,1,1,1,428th,598,170,0.539,2
Hartford,Washington,Hartford Central School District,"PK, KG-12",1,1,0,0,429th,,(n/a),0.538,2
Uniondale,Nassau,Uniondale Union Free School District,K-12,0,5,1,2,430th,507,77,0.537,2
Bronx,Bronx,International Leadership Charter School,9-12,0,0,1,0,431st,277,154,0.536,2
Saugerties,Ulster,Saugerties Central School District,K-12,0,4,1,1,432nd,541,109,0.536,2
Farmingdale,Nassau,Farmingdale Union Free School District,K-12,0,4,1,1,433rd,410,23,0.535,2
Williamson,Wayne,Williamson Central School District,"PK, KG-12",0,1,1,1,434th,453,19,0.534,2
Orient,Suffolk,Oysterponds Union Free School District,"PK, KG-6",0,1,0,0,435th,518,83,0.533,2
New York,New York,Harlem Hebrew Language Academy Charter School,K-4,0,1,0,0,436th,,(n/a),0.531,2
Amherst,Erie,Sweet Home Central School District,K-12,0,4,1,1,437th,388,49,0.531,2
De Ruyter,Madison,Deruyter Central School District,"PK, KG-12",1,1,0,0,438th,509,71,0.529,2
New York,New York,New York French-American Charter School,K-5,0,1,0,0,439th,411,28,0.529,2
Adams Center,Jefferson,South Jefferson Central School District,"PK, KG-12",0,2,1,1,440th,437,3,0.529,2
Pine Bush,Orange,Pine Bush Central School District,"PK, KG-12",0,4,1,2,441st,450,9,0.528,2
Hammondsport,Steuben,Hammondsport Central School District,"PK, KG-12",0,1,1,0,442nd,426,16,0.528,2
Brooklyn,Kings,Bushwick Ascend Charter School,K-7,0,1,0,0,443rd,530,87,0.528,2
Granville,Washington,Granville Central School District,"PK, KG-12",0,2,1,0,444th,438,6,0.528,2
West Seneca,Erie,West Seneca Central School District,"PK, KG-12",0,5,2,2,445th,332,113,0.527,2
Nunda,Livingston,Dalton-Nunda Central School District (Keshequa),"PK, KG-12",0,2,1,0,446th,378,68,0.527,2
Brooklyn,Kings,Brownsville Ascend Charter School,K-8,0,1,0,0,447th,561,114,0.525,2
Islip,Suffolk,Islip Union Free School District,K-12,0,3,1,1,448th,439,9,0.523,2
Wallkill,Ulster,Wallkill Central School District,K-12,0,3,1,1,449th,385,64,0.522,2
Ellenburg Depot,Clinton,Northern Adirondack Central School District,"PK, KG-12",1,1,0,0,450th,394,56,0.521,2
Middleport,Niagara,Royalton-Hartland Central School District,"PK, KG-12",0,1,1,1,451st,375,76,0.521,2
Berne,Albany,Berne-Knox-Westerlo Central School District,K-12,0,1,1,0,452nd,418,34,0.518,2
Dansville,Livingston,Dansville Central School District,"PK, KG-12",0,2,1,0,453rd,503,50,0.517,2
Middleburgh,Schoharie,Middleburgh Central School District,"PK, KG-12",0,1,1,0,454th,431,23,0.517,2
Jamaica,Queens,New York City Geographic District #28,"PK, KG-12",6,27,10,7,455th,454,1,0.517,2
Silver Creek,Chautauqua,Silver Creek Central School District,"PK, KG-12",0,1,1,1,456th,417,39,0.517,2
West Babylon,Suffolk,West Babylon Union Free School District,K-12,0,5,1,1,457th,435,22,0.516,2
Scottsville,Monroe,Wheatland-Chili Central School District,K-12,1,1,0,0,458th,401,57,0.515,2
Moravia,Cayuga,Moravia Central School District,"PK, KG-12",1,1,0,0,459th,442,17,0.514,2
Ithaca,Tompkins,New Roots Charter School,9-12,0,0,1,0,460th,612,152,0.514,2
Center Moriches,Suffolk,Center Moriches Union Free School District,K-12,0,1,1,1,461st,440,21,0.514,2
Clintonville,Clinton,Ausable Valley Central School District,K-12,0,2,1,1,462nd,477,15,0.513,2
Bath,Steuben,Bath Central School District,"PK, KG-12",0,2,1,0,463rd,485,22,0.512,2
Niagara Falls,Niagara,Niagara Charter School,K-6,0,1,0,0,464th,520,56,0.511,2
Oneida,Madison,Oneida City School District,"PK, KG-12",0,4,1,1,465th,376,89,0.51,2
Clifton Springs,Ontario,Phelps-Clifton Springs Central School District,K-12,0,2,1,1,466th,465,1,0.51,2
Ripley,Chautauqua,Ripley Central School District,"PK, KG-6",0,1,0,0,467th,582,115,0.51,2
New York,New York,New York City Geographic District # 3,"PK, KG-12",3,20,12,10,468th,498,30,0.509,2
Wellsville,Allegany,Wellsville Central School District,"PK, KG-12",1,1,0,0,469th,487,18,0.508,2
Massena,St. Lawrence,Massena Central School District,"PK, KG-12",0,3,1,1,470th,544,74,0.507,2
Mechanicville,Saratoga,Mechanicville City School District,K-12,1,1,0,0,471st,513,42,0.506,2
Schenectady,Schenectady,Rotterdam-Mohonasen Central School District,K-12,0,2,1,1,472nd,338,134,0.506,2
Shortsville,Ontario,Manchester-Shortsville Central School District (Red Jacket),"PK, KG-12",0,1,1,1,473rd,398,75,0.505,2
Huntington Station,Suffolk,South Huntington Union Free School District,K-12,0,4,1,2,474th,448,26,0.505,2
Pine Plains,Dutchess,Pine Plains Central School District,"PK, KG-12",0,2,1,1,475th,479,4,0.505,2
Brooklyn,Kings,Brooklyn Charter School (The),K-5,0,1,0,0,476th,572,96,0.503,2
Central Square,Oswego,Central Square Central School District,"PK, KG-12",0,5,1,1,477th,419,58,0.503,2
New York,New York,New York City Geographic District # 1,"PK, KG-12",2,16,7,4,478th,500,22,0.503,2
North Babylon,Suffolk,North Babylon Union Free School District,K-12,0,5,1,1,479th,467,12,0.502,2
Brooklyn,Kings,Hebrew Language Academy Charter School,K-7,0,1,0,0,480th,274,206,0.501,2
East Rockaway,Nassau,East Rockaway Union Free School District,K-12,0,2,1,0,481st,458,23,0.5,2
Southold,Suffolk,Southold Union Free School District,K-12,0,1,1,0,482nd,345,137,0.5,2
Sandy Creek,Oswego,Sandy Creek Central School District,"PK, KG-12",0,1,1,1,483rd,462,21,0.498,2
Calverton,Suffolk,Riverhead Charter School,K-8,0,1,0,0,484th,529,45,0.498,2
Turin,Lewis,South Lewis Central School District,"PK, KG-12",0,2,1,1,485th,428,57,0.497,2
Rochester,Monroe,Greece Central School District,"PK, KG-12",2,11,2,2,486th,466,20,0.496,2
Otego,Otsego,Otego-Unadilla Central School District,K-12,0,2,1,1,487th,483,4,0.496,2
Brooklyn,Kings,Brooklyn Scholars Charter School,K-8,0,1,0,0,488th,480,8,0.495,2
Middle Island,Suffolk,Longwood Central School District,K-12,1,3,1,2,489th,403,86,0.495,2
Lake Placid,Essex,Lake Placid Central School District,K-12,1,1,0,0,490th,478,12,0.495,2
Eldred,Sullivan,Eldred Central School District,"PK, KG-12",0,1,1,0,491st,591,100,0.495,2
Far Rockaway,Queens,Peninsula Preparatory Academy Charter School,K-5,0,1,0,0,492nd,569,77,0.493,2
Falconer,Chautauqua,Falconer Central School District,"PK, KG-12",1,2,0,0,493rd,441,52,0.493,2
Watkins Glen,Schuyler,Watkins Glen Central School District,"PK, KG-12",0,1,1,0,494th,510,16,0.493,2
Schaghticoke,Rensselaer,Hoosic Valley Central School District,K-12,0,1,1,0,495th,387,108,0.493,2
Homer,Cortland,Homer Central School District,K-12,0,2,1,1,496th,430,66,0.491,2
Brooklyn,Kings,New York City Geographic District #21,"PK, KG-12",2,22,10,6,497th,506,9,0.49,2
Medina,Orleans,Medina Central School District,"PK, KG-12",0,2,1,0,498th,482,16,0.489,2
Batavia,Genesee,Batavia City School District,"PK, KG-12",0,2,1,1,499th,521,22,0.489,2
North Syracuse,Onondaga,North Syracuse Central School District,"PK, KG-12",1,7,1,2,500th,492,8,0.487,2
Peru,Clinton,Peru Central School District,K-12,0,1,1,0,501st,519,18,0.484,2
White Plains,Westchester,White Plains City School District,K-12,0,5,1,1,502nd,505,3,0.479,2
Star Lake,St. Lawrence,Clifton-Fine Central School District,"PK, KG-12",0,1,1,0,503rd,475,28,0.479,2
Grahamsville,Sullivan,Tri-Valley Central School District,"PK, KG-12",0,1,1,0,504th,512,8,0.479,2
Waterloo,Seneca,Waterloo Central School District,"PK, KG-12",0,2,1,1,505th,447,58,0.479,2
Phoenix,Oswego,Phoenix Central School District,"PK, KG-12",0,1,1,1,506th,499,7,0.479,2
Accord,Ulster,Rondout Valley Central School District,"PK, KG-12",0,3,1,1,507th,533,26,0.478,2
North Tonawanda,Niagara,North Tonawanda City School District,K-12,0,4,1,1,508th,473,35,0.477,2
Bronx,Bronx,Bronx Charter School For Children (The),K-5,0,1,0,0,509th,584,75,0.477,2
La Fayette,Onondaga,Lafayette Central School District,"PK, KG-12",0,2,1,0,510th,436,74,0.477,2
Palmyra,Wayne,Palmyra-Macedon Central School District,"PK, KG-12",0,2,1,1,511th,515,4,0.475,2
Hancock,Delaware,Hancock Central School District,"PK, KG-12",1,1,0,0,512th,445,67,0.474,2
Dryden,Tompkins,Dryden Central School District,"PK, KG-12",0,3,1,1,513th,496,17,0.474,2
Cincinnatus,Cortland,Cincinnatus Central School District,"PK, KG-12",0,1,1,1,514th,484,30,0.472,2
Ogdensburg,St. Lawrence,Ogdensburg City School District,"PK, KG-12",0,2,1,0,515th,424,91,0.469,2
Rochester,Monroe,Gates-Chili Central School District,"PK, KG-12",0,4,1,1,516th,488,28,0.469,2
Brooklyn,Kings,Brooklyn Urban Garden Charter School,6-8,0,0,0,1,517th,,(n/a),0.468,2
Centereach,Suffolk,Middle Country Central School District,"PK, KG-12",0,10,2,2,518th,461,57,0.467,2
Brooklyn,Kings,New Hope Academy Charter School,K-5,0,1,0,0,519th,600,81,0.465,2
Seneca Falls,Seneca,Seneca Falls Central School District,K-12,1,1,1,1,520th,415,105,0.464,2
Hoosick Falls,Rensselaer,Hoosick Falls Central School District,"PK, KG-12",0,1,1,0,521st,373,148,0.464,2
Mexico,Oswego,Mexico Central School District,"PK, KG-12",0,3,1,1,522nd,594,72,0.464,2
Norwich,Chenango,Norwich City School District,"PK, KG-12",0,2,1,1,523rd,534,11,0.463,2
Chateaugay,Franklin,Chateaugay Central School District,"PK, KG-12",0,1,1,0,524th,329,195,0.463,2
Elmsford,Westchester,Elmsford Union Free School District,"PK, KG-12",0,2,1,0,525th,570,45,0.463,2
Catskill,Greene,Catskill Central School District,"PK, KG-12",1,1,0,1,526th,609,83,0.462,2
Frankfort,Herkimer,Frankfort-Schuyler Central School District,"PK, KG-12",0,1,1,1,527th,471,56,0.461,2
Morrisville,Madison,Morrisville-Eaton Central School District,"PK, KG-12",1,1,0,0,528th,472,56,0.461,2
Plattsburgh,Clinton,Plattsburgh City School District,"PK, KG-12",0,3,1,1,529th,527,2,0.461,2
Camden,Oneida,Camden Central School District,"PK, KG-12",0,3,1,1,530th,413,117,0.46,2
West Chazy,Clinton,Beekmantown Central School District,"PK, KG-12",1,2,1,1,531st,543,12,0.46,2
Mc Graw,Cortland,McGraw Central School District,K-12,1,1,0,0,532nd,535,3,0.459,2
Canajoharie,Montgomery,Canajoharie Central School District,"PK, KG-12",0,1,1,1,533rd,386,147,0.459,2
Fort Montgomery,Orange,Highland Falls Central School District,"PK, KG-12",0,2,1,0,534th,434,100,0.457,2
Ticonderoga,Essex,Ticonderoga Central School District,"PK, KG-12",0,1,1,1,535th,476,59,0.456,2
Copiague,Suffolk,Copiague Union Free School District,K-12,0,4,1,1,536th,603,67,0.456,2
Newark Valley,Tioga,Newark Valley Central School District,"PK, KG-12",0,2,1,0,537th,581,44,0.454,2
Craryville,Columbia,Taconic Hills Central School District,"PK, KG-12",0,1,1,0,538th,597,59,0.452,2
Cohoes,Albany,Cohoes City School District,K-12,0,3,1,1,539th,517,22,0.452,2
Southampton,Suffolk,Southampton Union Free School District,"PK, KG-12",0,2,1,0,540th,457,83,0.452,2
Northville,Fulton,Northville Central School District,"PK, KG-12",1,1,0,0,541st,553,12,0.45,2
Franklinville,Cattaraugus,Franklinville Central School District,"PK, KG-12",0,1,1,0,542nd,449,93,0.45,2
Albion,Orleans,Albion Central School District,"PK, KG-12",0,1,1,1,543rd,481,62,0.449,2
Corinth,Saratoga,Corinth Central School District,K-12,0,1,1,1,544th,576,32,0.448,2
Ilion,Herkimer,Central Valley Central School District At Ilion-Mohawk,"PK, KG-12",0,2,1,1,545th,614,69,0.448,2
Little Falls,Herkimer,Little Falls City School District,"PK, KG-12",0,1,1,1,546th,526,20,0.447,2
