city,county,district,grades,number_alt_schools,number_elementary_schools,number_high_schools,number_middle_schools,rank,rank_2016,rank_change,rank_score_2017,sd_rating
North Salem,Westchester,North Salem Central School District,K-12,1,1,0,0,63rd,59,4,0.902,5
Croton On Hudson,Westchester,Croton-Harmon Union Free School District,K-12,0,1,1,1,64th,46,18,0.901,5
New York,New York,Neighborhood Charter School Of Harlem,K-5,0,1,0,0,65th,37,28,0.899,5
Mamaroneck,Westchester,Rye Neck Union Free School District,K-12,0,2,1,1,66th,40,26,0.896,5
Great Neck,Nassau,Great Neck Union Free School District,"PK, KG-12",0,5,3,2,67th,29,38,0.894,5
Stony Brook,Suffolk,Three Village Central School District,K-12,2,5,1,0,68th,71,3,0.893,5
Honeoye Falls,Monroe,Honeoye Falls-Lima Central School District,K-12,0,2,1,1,69th,53,16,0.892,5
Locust Valley,Nassau,Locust Valley Central School District,K-12,2,2,0,0,70th,52,18,0.892,5
Floral Park,Nassau,Floral Park-Bellerose Union Free School District,"PK, KG-6",0,2,0,0,71st,114,43,0.889,5
East Aurora,Erie,East Aurora Union Free School District,K-12,0,1,1,1,72nd,67,5,0.889,5
Greenlawn,Suffolk,Harborfields Central School District,K-12,0,2,1,1,73rd,60,13,0.888,5
Lockport,Niagara,Starpoint Central School District,K-12,0,2,1,1,74th,77,3,0.882,5
Menands,Albany,Menands Union Free School District,K-8,0,1,0,0,75th,76,1,0.879,5
De Witt,Onondaga,Jamesville-Dewitt Central School District,K-12,0,3,1,1,76th,80,4,0.879,5
East Amherst,Erie,Williamsville Central School District,K-12,0,6,3,4,77th,66,11,0.878,5
Middle Village,Queens,Middle Village Preparatory Charter School,6-8,0,0,0,1,78th,184,106,0.876,5
Dobbs Ferry,Westchester,Dobbs Ferry Union Free School District,K-12,0,1,1,1,79th,101,22,0.876,5
Dix Hills,Suffolk,Half Hollow Hills Central School District,K-12,0,5,2,2,80th,86,6,0.875,5
Port Jefferson,Suffolk,Port Jefferson Union Free School District,"PK, KG-12",0,1,1,1,81st,39,42,0.874,5
Mount Sinai,Suffolk,Mount Sinai Union Free School District,K-12,0,1,1,1,82nd,130,48,0.874,4
Rochester,Monroe,West Irondequoit Central School District,K-12,0,8,1,1,83rd,102,19,0.87,4
Greenlawn,Suffolk,Elwood Union Free School District,K-12,0,2,1,1,84th,110,26,0.869,4
