ownertype,borough,schooldist,zipcode,address,xcoord,ycoord,buildingclassatpresent,saleprice,saledate
P,MN,1,10009,43 AVENUE A,988277,203038,D4,1020000,2017-09-11
P,MN,1,10009,43 AVENUE A,988277,203038,D4,651000,2018-04-02
P,MN,1,10009,43 AVENUE A,988277,203038,D4,1130000,2018-01-05
P,MN,1,10009,43 AVENUE A,988277,203038,D4,1825000,2018-04-17
 ,MN,2,10003,7 EAST 14 STREET,986325,207367,D4,1201000,2018-01-10
 ,MN,2,10003,7 EAST 14 STREET,986325,207367,D4,940000,2018-05-23
P,MN,2,10011,3 WEST 14 STREET,985867,207675,D4,1547000,2018-01-12
P,MN,2,10011,3 WEST 14 STREET,985867,207675,D4,1299500,2017-10-10
P,MN,2,10011,3 WEST 14 STREET,985867,207675,D4,858000,2017-06-29
P,MN,2,10011,3 WEST 14 STREET,985867,207675,D4,1280000,2017-09-06
 ,MN,2,10003,7 EAST 14 STREET,986325,207367,D4,999000,2018-01-10
 ,MN,2,10003,7 EAST 14 STREET,986325,207367,D4,386925,2018-01-23
P,MN,2,10011,3 WEST 14 STREET,985867,207675,D4,475000,2017-11-07
P,MN,2,10011,3 WEST 14 STREET,985867,207675,D4,899000,2017-07-13
P,MN,2,10011,3 WEST 14 STREET,985867,207675,D4,925000,2018-04-26
P,MN,2,10011,3 WEST 14 STREET,985867,207675,D4,790000,2018-05-30
P,MN,2,10011,3 WEST 14 STREET,985867,207675,D4,906000,2018-03-06
 ,MN,2,10003,7 EAST 14 STREET,986325,207367,D4,610000,2017-10-04
 ,MN,2,10003,7 EAST 14 STREET,986325,207367,D4,1185000,2017-09-06
 ,MN,2,10003,7 EAST 14 STREET,986325,207367,D4,2495000,2017-09-07
P,MN,2,10011,3 WEST 14 STREET,985867,207675,D4,1730000,2017-08-07
 ,MN,2,10003,7 EAST 14 STREET,986325,207367,D4,840000,2018-03-28
 ,MN,2,10003,7 EAST 14 STREET,986325,207367,D4,555000,2017-07-25
